Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country,year
AU Rashid,11,11,92.0,0,526,11,3/54,47.81,5.71,50.1,0,0,3,0,England,2019
Rashid Khan,9,8,71.5,1,416,6,2/17,69.33,5.79,71.8,0,0,1,0,Afghanistan,2019
KW Richardson,2,2,17.4,1,109,5,3/47,21.80,6.16,21.2,0,0,2,0,Australia,2019
KAJ Roach,4,4,33.0,4,121,6,3/36,20.16,3.66,33.0,0,0,0,0,WestIndies,2019
JE Root,11,3,10.0,0,55,2,2/27,27.50,5.50,30.0,0,0,13,0,England,2019
JJ Roy,8,-,-,-,-,-,-,-,-,-,-,-,1,0,England,2019
Rubel Hossain,2,2,17.0,0,131,1,1/48,131.00,7.70,102.0,0,0,3,0,Bangladesh,2019
AD Russell,4,4,19.0,1,101,5,2/4,20.20,5.31,22.8,0,0,0,0,WestIndies,2019
Sabbir Rahman,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh,2019
Samiullah Shinwari,3,1,8.0,0,32,0,-,-,4.00,-,0,0,0,0,Afghanistan,2019
MJ Santner,10,9,67.0,4,323,6,2/34,53.83,4.82,67.0,0,0,3,0,NewZealand,2019
Sarfaraz Ahmed,8,-,-,-,-,-,-,-,-,-,-,-,13,1,Pakistan,2019
Sayed Shirzad,1,1,8.0,0,56,1,1/56,56.00,7.00,48.0,0,0,0,0,Afghanistan,2019
Shadab Khan,7,6,58.0,1,320,9,3/50,35.55,5.51,38.6,0,0,1,0,Pakistan,2019
Shaheen Shah Afridi,5,5,47.1,3,234,16,6/35,14.62,4.96,17.6,1,1,0,0,Pakistan,2019
T Shamsi,2,2,18.0,0,116,0,-,-,6.44,-,0,0,0,0,SouthAfrica,2019
V Shankar,3,1,5.2,0,22,2,2/22,11.00,4.12,16.0,0,0,2,0,India,2019
Shakib Al Hasan,8,8,74.0,1,399,11,5/29,36.27,5.39,40.3,0,1,3,0,Bangladesh,2019
RG Sharma,9,-,-,-,-,-,-,-,-,-,-,-,4,0,India,2019
Shoaib Malik,3,3,8.0,0,47,1,1/10,47.00,5.87,48.0,0,0,2,0,Pakistan,2019
TAM Siriwardana,1,1,2.0,0,17,0,-,-,8.50,-,0,0,1,0,SriLanka,2019
SPD Smith,10,3,4.0,0,32,1,1/6,32.00,8.00,24.0,0,0,3,0,Australia,2019
IS Sodhi,1,1,6.0,0,35,0,-,-,5.83,-,0,0,0,0,NewZealand,2019
Soumya Sarkar,8,2,14.0,0,91,4,3/58,22.75,6.50,21.0,0,0,7,0,Bangladesh,2019
TG Southee,1,1,9.0,0,70,1,1/70,70.00,7.77,54.0,0,0,0,0,NewZealand,2019
MA Starc,10,10,92.2,5,502,27,5/26,18.59,5.43,20.5,2,2,3,0,Australia,2019
MP Stoinis,8,8,40.0,1,244,7,2/37,34.85,6.10,34.2,0,0,3,0,Australia,2019
BA Stokes,11,11,50.5,1,246,7,3/23,35.14,4.83,43.5,0,0,3,0,England,2019
Tamim Iqbal,8,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh,2019
LRPL Taylor,10,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand,2019
HDRL Thirimanne,5,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,2019
O Thomas,9,9,58.1,1,380,9,4/27,42.22,6.53,38.7,1,0,0,0,WestIndies,2019
I Udana,7,7,51.3,0,296,6,2/41,49.33,5.74,51.5,0,0,3,0,SriLanka,2019
HE van der Dussen,9,-,-,-,-,-,-,-,-,-,-,-,3,0,SouthAfrica,2019
JDF Vandersay,1,1,7.0,0,50,1,1/50,50.00,7.14,42.0,0,0,1,0,SriLanka,2019
JM Vince,3,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2019
Wahab Riaz,8,8,66.4,1,400,11,3/46,36.36,6.00,36.3,0,0,4,0,Pakistan,2019
DA Warner,10,-,-,-,-,-,-,-,-,-,-,-,4,0,Australia,2019
KS Williamson,10,2,15.0,0,64,2,1/25,32.00,4.26,45.0,0,0,6,0,NewZealand,2019
CR Woakes,11,11,85.0,6,446,16,3/20,27.87,5.24,31.8,0,0,8,0,England,2019
MA Wood,10,10,89.4,2,463,18,3/18,25.72,5.16,29.8,0,0,0,0,England,2019
A Zampa,4,4,33.0,0,236,5,3/60,47.20,7.15,39.6,0,0,1,0,Australia,2019
