Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
DJ Bravo,2007-2011,10,9,2,169,40,24.14,195,86.66,0,0,0,11,5,WestIndies,67,4,373,13,3/42,28.69,5.56,30.9,0,0,5,0,2,All Rounder,67.13659147869674,67.13659147869674
CH Gayle,2003-2019,35,34,1,1186,215,35.93,1310,90.53,2,6,2,116,49,WestIndies,132.1,3,652,16,2/21,40.75,4.93,49.5,0,0,17,0,5,All Rounder,54.27401837928154,52.38095238095239
DL Haynes,1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,0,67+,4+,WestIndies,-,-,-,-,-,-,-,-,-,-,12,0,4,Batsman,73.33333333333333,73.33333333333333
CL Hooper,1987-2003,20,18,4,261,63,18.64,369,70.73,0,1,2,16,2,WestIndies,154,3,659,18,3/42,36.61,4.27,51.3,0,0,13,0,5,All Rounder,61.71016483516484,65.625
RD Jacobs,1999-2003,11,8,4,270,80*,67.5,500,54.0,0,3,1,21,4,WestIndies,-,-,-,-,-,-,-,-,-,-,21,1,2,Wicket Keeper,66.30952380952381,66.30952380952381
BC Lara,1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,124+,17+,WestIndies,-,-,-,-,-,-,-,-,-,-,16,0,5,Batsman,57.49019607843137,62.5
BP Patterson,1987-1992,7,2,2,4,4*,-,12,33.33,0,0,0,0,0,WestIndies,66,2,278,15,3/31,18.53,4.21,26.4,0,0,2,0,2,Bowler,62.5,62.5
D Ramdin,2007-2015,16,12,2,191,52,19.1,245,77.95,0,2,2,20,0,WestIndies,-,-,-,-,-,-,-,-,-,-,26,0,3,Wicket Keeper,73.33333333333333,73.33333333333333
RB Richardson,1987-1996,20,20,3,639,110,37.58,1016,62.89,1,4,1,52,6,WestIndies,4,0,24,0,-,-,6,-,0,0,6,0,3,Batsman,67.5,62.5
KAJ Roach,2011-2019,13,7,3,47,16,11.75,106,44.33,0,0,1,5,1,WestIndies,101,7,466,20,6/27,23.3,4.61,30.3,0,1,0,0,3,Bowler,73.6111111111111,87.5
RR Sarwan,2003-2011,21,20,4,739,92,46.18,974,75.87,0,3,0,71,10,WestIndies,13,1,73,2,1/17,36.5,5.61,39,0,0,3,0,3,Batsman,64.94708994708994,75.0
JE Taylor,2007-2015,14,7,1,74,15*,12.33,89,83.14,0,0,0,9,0,WestIndies,121.3,5,634,23,3/15,27.56,5.21,31.6,0,0,1,0,3,Bowler,45.27777777777778,45.27777777777778
CA Walsh,1987-1999,17,8,3,37,9*,7.4,49,75.51,0,0,1,6,0,WestIndies,158,23,547,27,4/25,20.25,3.46,35.1,2,0,3,0,4,Bowler,52.25490196078431,50.0
EA Brandes,1987-1999,16,12,4,120,23,15,163,73.61,0,0,1,8,4,Zimbabwe,129.1,11,641,16,4/21,40.06,4.96,48.4,1,0,5,0,4,Bowler,82.14285714285714,100.0
CR Ervine,2011-2015,12,12,0,390,85,32.5,449,86.85,0,4,1,36,8,Zimbabwe,-,-,-,-,-,-,-,-,-,-,5,0,2,Batsman,73.30827067669173,73.30827067669173
DL Houghton,1983-1992,20,19,0,567,142,29.84,900,63.0,1,4,3,47,8,Zimbabwe,2,0,19,1,1/19,19,9.5,12,0,0,14,2,3,Batsman,73.33333333333334,73.33333333333334
CB Mpofu,2007-2011,7,5,1,7,3*,1.75,31,22.58,0,0,1,0,0,Zimbabwe,56,6,325,11,4/62,29.54,5.8,30.5,1,0,1,0,2,Bowler,74.80158730158729,74.80158730158729
HK Olonga,1999-2003,9,6,4,16,5*,8,61,26.22,0,0,0,1,0,Zimbabwe,43.2,2,259,9,3/22,28.77,5.97,28.8,0,0,1,0,2,Bowler,82.5,82.5
PA Strang,1996-1999,12,9,3,109,29,18.16,166,65.66,0,0,1,9,2,Zimbabwe,86.4,6,388,15,5/21,25.86,4.47,34.6,1,1,2,0,2,All Rounder,63.208502024291505,63.208502024291505
HH Streak,1996-2003,22,18,7,328,72*,29.81,447,73.37,0,1,1,24,4,Zimbabwe,175,13,804,22,3/35,36.54,4.59,47.7,0,0,7,0,3,Bowler,64.26470588235293,62.5
BRM Taylor,2007-2015,15,15,0,690,138,46,778,88.68,2,3,1,68,14,Zimbabwe,3,0,23,0,-,-,7.66,-,0,0,8,1,3,Wicket Keeper,61.746031746031754,58.88888888888889
AJ Traicos,1983-1992,20,12,5,70,19,10,136,51.47,0,0,1,3,0,Zimbabwe,188,13,673,16,3/35,42.06,3.57,70.5,0,0,2,0,3,Bowler,80.35714285714286,80.35714285714286
SC Williams,2007-2015,11,11,2,492,96,54.66,486,101.23,0,5,0,42,8,Zimbabwe,71,2,405,9,3/72,45,5.7,47.3,0,0,6,0,3,All Rounder,65.67112225006962,79.76190476190476
A Bagai,2003-2011,15,15,2,343,84,26.38,556,61.69,0,2,1,38,0,Canada,-,-,-,-,-,-,-,-,-,-,19,2,3,Wicket Keeper,77.5132275132275,81.1111111111111
JM Davison,2003-2011,14,14,1,340,111,26.15,308,110.38,1,2,3,41,13,Canada,106,7,514,17,3/15,30.23,4.84,37.4,0,0,8,0,3,Bowler,75.30423280423281,76.19047619047619
