Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,country,year
AC Botha,7,7,49.0,7,181,5,2/5,36.20,3.69,58.8,0,0,Ireland,2007
JH Kallis,10,10,61.0,1,271,5,2/36,54.20,4.44,73.2,0,0,SouthAfrica,2007
CRD Fernando,7,7,48.2,6,278,5,3/41,55.60,5.75,58.0,0,0,SriLanka,2007
CH Gayle,9,8,59.1,1,281,5,2/23,56.20,4.74,71.0,0,0,WestIndies,2007
Shahid Afridi,8,8,74.3,4,270,21,5/16,12.85,3.62,21.2,2,2,Pakistan,2011
Z Khan,9,9,81.3,4,394,21,3/20,18.76,4.83,23.2,0,0,India,2011
TG Southee,8,8,72.2,9,312,18,3/13,17.33,4.31,24.1,0,0,NewZealand,2011
RJ Peterson,7,7,56.0,5,238,15,4/12,15.86,4.25,22.4,1,0,SouthAfrica,2011
M Muralitharan,9,8,71.0,1,291,15,4/25,19.40,4.09,28.4,1,0,SriLanka,2011
Yuvraj Singh,9,9,75.0,2,377,15,5/31,25.13,5.02,30.0,0,1,India,2011
Imran Tahir,5,5,39.3,2,150,14,4/38,10.71,3.79,16.9,2,0,SouthAfrica,2011
Umar Gul,8,8,60.3,5,272,14,3/30,19.42,4.49,25.9,0,0,Pakistan,2011
KAJ Roach,6,6,46.0,2,195,13,6/27,15.00,4.23,21.2,0,1,WestIndies,2011
B Lee,7,7,54.2,6,235,13,4/28,18.07,4.32,25.0,2,0,Australia,2011
SL Malinga,7,6,48.4,0,270,13,6/38,20.76,5.54,22.4,0,1,SriLanka,2011
HS Baidwan,6,6,55.0,3,307,13,3/35,23.61,5.58,25.3,0,0,Canada,2011
DW Steyn,6,6,46.1,3,192,12,5/50,16.00,4.15,23.0,0,1,SouthAfrica,2011
JDP Oram,6,6,49.5,6,221,12,4/39,18.41,4.43,24.9,1,0,NewZealand,2011
SJ Benn,6,6,47.5,3,238,12,4/18,19.83,4.97,23.9,2,0,WestIndies,2011
GP Swann,7,7,68.0,5,309,12,3/36,25.75,4.54,34.0,0,0,England,2011
SW Tait,7,7,52.0,3,264,11,3/35,24.00,5.07,28.3,0,0,Australia,2011
MM Patel,8,8,65.5,1,353,11,4/48,32.09,5.36,35.9,1,0,India,2011
MG Johnson,7,7,57.3,7,231,10,4/19,23.10,4.01,34.5,2,0,Australia,2011
JF Mooney,6,6,45.0,0,259,10,4/63,25.90,5.75,27.0,1,0,Ireland,2011
RW Price,6,6,49.0,7,169,9,3/16,18.77,3.44,32.6,0,0,Zimbabwe,2011
M Morkel,6,6,40.2,0,207,9,3/33,23.00,5.13,26.8,0,0,SouthAfrica,2011
WD Balaji Rao,6,6,54.0,0,299,9,4/57,33.22,5.53,36.0,1,0,Canada,2011
TT Bresnan,7,7,63.0,5,309,9,5/48,34.33,4.90,42.0,0,1,England,2011
Harbhajan Singh,9,9,87.0,2,390,9,3/53,43.33,4.48,58.0,0,0,India,2011
TM Dilshan,9,7,31.0,2,126,8,4/4,15.75,4.06,23.2,1,0,SriLanka,2011
Wahab Riaz,5,5,33.5,0,158,8,5/46,19.75,4.66,25.3,0,1,Pakistan,2011
Mohammad Hafeez,8,8,55.0,4,193,8,2/16,24.12,3.50,41.2,0,0,Pakistan,2011
DJG Sammy,7,7,46.0,4,206,8,3/21,25.75,4.47,34.5,0,0,WestIndies,2011
Shakib Al Hasan,6,6,46.2,0,223,8,2/28,27.87,4.81,34.7,0,0,Bangladesh,2011
DT Johnston,5,5,43.2,2,240,8,2/16,30.00,5.53,32.5,0,0,Ireland,2011
NL McCullum,8,8,50.0,1,241,8,3/24,30.12,4.82,37.5,0,0,NewZealand,2011
PM Seelaar,6,6,59.4,4,306,8,3/45,38.25,5.12,44.7,0,0,Netherlands,2011
AD Russell,3,3,27.1,3,132,7,4/49,18.85,4.85,23.2,1,0,WestIndies,2011
BAW Mendis,6,5,42.4,5,134,7,3/35,19.14,3.14,36.5,0,0,SriLanka,2011
CB Mpofu,4,4,27.0,1,159,7,4/62,22.71,5.88,23.1,1,0,Zimbabwe,2011
NLTC Perera,4,4,31.0,0,174,7,3/24,24.85,5.61,26.5,0,0,SriLanka,2011
GH Dockrell,6,6,46.4,2,207,7,2/23,29.57,4.43,40.0,0,0,Ireland,2011
Abdur Razzak,6,6,48.0,5,220,7,3/29,31.42,4.58,41.1,0,0,Bangladesh,2011
RN ten Doeschate,6,6,52.0,2,322,7,3/72,46.00,6.19,44.5,0,0,Netherlands,2011
KD Mills,3,3,20.4,2,74,6,2/2,12.33,3.58,20.6,0,0,NewZealand,2011
HK Bennett,4,4,24.1,0,132,6,4/16,22.00,5.46,24.1,1,0,NewZealand,2011
SCJ Broad,3,3,25.4,2,153,6,4/15,25.50,5.96,25.6,1,0,England,2011
H Osinde,5,5,36.0,3,166,6,4/26,27.66,4.61,36.0,1,0,Canada,2011
AD Mathews,8,6,36.0,0,171,6,2/29,28.50,4.75,36.0,0,0,SriLanka,2011
Shafiul Islam,6,6,39.2,4,203,6,4/21,33.83,5.16,39.3,1,0,Bangladesh,2011
AG Cremer,6,6,46.2,1,211,6,3/31,35.16,4.55,46.3,0,0,Zimbabwe,2011
P Utseya,6,6,49.0,3,211,6,2/24,35.16,4.30,49.0,0,0,Zimbabwe,2011
Rizwan Cheema,6,6,40.5,1,248,6,2/30,41.33,6.07,40.8,0,0,Canada,2011
NN Odhiambo,6,6,43.0,2,256,6,3/57,42.66,5.95,43.0,0,0,Kenya,2011
MA Starc,8,8,63.5,3,224,22,6/28,10.18,3.50,17.4,1,1,Australia,2015
TA Boult,9,9,85.0,14,371,22,5/27,16.86,4.36,23.1,1,1,NewZealand,2015
UT Yadav,8,8,64.2,5,321,18,4/31,17.83,4.98,21.4,2,0,India,2015
Mohammed Shami,7,7,61.0,7,294,17,4/35,17.29,4.81,21.5,1,0,India,2015
M Morkel,8,8,68.1,4,299,17,3/34,17.58,4.38,24.0,0,0,SouthAfrica,2015
JE Taylor,7,7,57.3,2,328,17,3/15,19.29,5.70,20.2,0,0,WestIndies,2015
Wahab Riaz,7,7,66.1,4,368,16,4/45,23.00,5.56,24.8,1,0,Pakistan,2015
DL Vettori,9,9,75.5,5,307,15,4/18,20.46,4.04,30.3,1,0,NewZealand,2015
JH Davey,6,6,50.0,2,311,15,4/68,20.73,6.22,20.0,1,0,Scotland,2015
Imran Tahir,8,8,76.2,5,323,15,5/45,21.53,4.23,30.5,1,1,SouthAfrica,2015
MG Johnson,8,8,63.3,2,326,15,4/22,21.73,5.13,25.4,1,0,Australia,2015
TG Southee,9,9,81.0,7,472,15,7/33,31.46,5.82,32.4,0,1,NewZealand,2015
CJ Anderson,9,9,36.1,1,234,14,3/18,16.71,6.47,15.5,0,0,NewZealand,2015
MM Sharma,8,8,63.0,4,314,13,3/48,24.15,4.98,29.0,0,0,India,2015
R Ashwin,8,8,77.0,6,330,13,4/25,25.38,4.28,35.5,1,0,India,2015
SL Malinga,7,7,63.4,1,354,12,3/35,29.50,5.56,31.8,0,0,SriLanka,2015
Sohail Khan,7,7,61.5,3,364,12,5/55,30.33,5.88,30.9,0,1,Pakistan,2015
AD Russell,7,7,54.0,5,343,11,3/33,31.18,6.35,29.4,0,0,WestIndies,2015
DW Steyn,8,8,68.5,7,346,11,3/30,31.45,5.02,37.5,0,0,SouthAfrica,2015
JP Faulkner,6,6,41.5,2,197,10,3/36,19.70,4.70,25.1,0,0,Australia,2015
Shapoor Zadran,6,6,51.0,5,265,10,4/38,26.50,5.19,30.6,1,0,Afghanistan,2015
TL Chatara,6,6,59.4,5,342,10,3/35,34.20,5.73,35.8,0,0,Zimbabwe,2015
KJ Abbott,4,4,31.0,1,130,9,4/21,14.44,4.19,20.6,1,0,SouthAfrica,2015
Taskin Ahmed,6,6,51.0,1,325,9,3/43,36.11,6.37,34.0,0,0,Bangladesh,2015
JO Holder,7,7,58.0,6,351,9,4/27,39.00,6.05,38.6,1,0,WestIndies,2015
RA Jadeja,8,8,66.4,0,357,9,2/23,39.66,5.35,44.4,0,0,India,2015
Mohammad Irfan,5,5,41.0,3,186,8,4/30,23.25,4.53,30.7,1,0,Pakistan,2015
ST Finn,4,4,29.0,3,200,8,5/71,25.00,6.89,21.7,0,1,England,2015
Hamid Hassan,6,6,51.0,2,261,8,3/45,32.62,5.11,38.2,0,0,Afghanistan,2015
Rubel Hossain,6,6,50.3,1,298,8,4/53,37.25,5.90,37.8,1,0,Bangladesh,2015
Shakib Al Hasan,6,6,57.4,1,298,8,4/55,37.25,5.16,43.2,1,0,Bangladesh,2015
Mohammad Naveed,6,6,50.2,2,307,8,3/63,38.37,6.09,37.7,0,0,UnitedArabEmirates,2015
RD Berrington,6,4,23.1,0,132,7,4/40,18.85,5.69,19.8,1,0,Scotland,2015
AM Guruge,4,4,28.3,2,136,7,4/56,19.42,4.77,24.4,1,0,UnitedArabEmirates,2015
AR Cusack,4,4,37.3,3,172,7,4/32,24.57,4.58,32.1,1,0,Ireland,2015
JR Hazlewood,5,5,42.5,5,176,7,4/35,25.14,4.10,36.7,1,0,Australia,2015
Rahat Ali,5,5,44.0,1,192,7,3/40,27.42,4.36,37.7,0,0,Pakistan,2015
RAS Lakmal,4,4,35.4,1,218,7,2/36,31.14,6.11,30.5,0,0,SriLanka,2015
Mashrafe Mortaza,5,5,47.0,2,250,7,3/20,35.71,5.31,40.2,0,0,Bangladesh,2015
SC Williams,6,6,45.0,1,286,7,3/72,40.85,6.35,38.5,0,0,Zimbabwe,2015
Amjad Javed,6,6,48.0,0,313,7,3/60,44.71,6.52,41.1,0,0,UnitedArabEmirates,2015
JP Duminy,6,6,35.0,2,202,6,3/29,33.66,5.77,35.0,0,0,SouthAfrica,2015
AD Mathews,7,5,35.4,1,207,6,3/41,34.50,5.80,35.6,0,0,SriLanka,2015
AC Evans,4,4,40.0,3,215,6,2/30,35.83,5.37,40.0,0,0,Scotland,2015
GJ Maxwell,8,8,38.0,1,218,6,2/43,36.33,5.73,38.0,0,0,Australia,2015
Dawlat Zadran,5,5,41.0,2,248,6,3/29,41.33,6.04,41.0,0,0,Afghanistan,2015
NLTC Perera,6,6,41.3,0,280,6,2/87,46.66,6.74,41.5,0,0,SriLanka,2015
I Wardlaw,5,5,43.3,1,310,6,3/57,51.66,7.12,43.5,0,0,Scotland,2015
KJ O'Brien,6,6,49.5,0,408,6,2/61,68.00,8.18,49.8,0,0,Ireland,2015
MA Starc,10,10,92.2,5,502,27,5/26,18.59,5.43,20.5,2,2,Australia,2019
LH Ferguson,9,9,83.4,3,409,21,4/37,19.47,4.88,23.9,1,0,NewZealand,2019
JC Archer,11,11,100.5,8,461,20,3/27,23.05,4.57,30.2,0,0,England,2019
Mustafizur Rahman,8,8,72.1,2,484,20,5/59,24.20,6.70,21.6,0,2,Bangladesh,2019
JJ Bumrah,9,9,84.0,9,371,18,4/55,20.61,4.41,28.0,1,0,India,2019
MA Wood,10,10,89.4,2,463,18,3/18,25.72,5.16,29.8,0,0,England,2019
Mohammad Amir,8,8,73.0,5,358,17,5/30,21.05,4.90,25.7,0,1,Pakistan,2019
TA Boult,10,10,99.0,4,479,17,4/30,28.17,4.83,34.9,2,0,NewZealand,2019
Shaheen Shah Afridi,5,5,47.1,3,234,16,6/35,14.62,4.96,17.6,1,1,Pakistan,2019
CR Woakes,11,11,85.0,6,446,16,3/20,27.87,5.24,31.8,0,0,England,2019
JDS Neesham,10,9,54.3,2,292,15,5/31,19.46,5.35,21.8,0,1,NewZealand,2019
Mohammed Shami,4,4,35.1,2,193,14,5/69,13.78,5.48,15.0,2,1,India,2019
MJ Henry,9,9,80.2,5,392,14,4/47,28.00,4.87,34.4,1,0,NewZealand,2019
PJ Cummins,10,10,86.1,6,427,14,3/33,30.50,4.95,36.9,0,0,Australia,2019
CH Morris,8,7,63.4,5,341,13,3/13,26.23,5.35,29.3,0,0,SouthAfrica,2019
SL Malinga,7,7,61.4,4,373,13,4/43,28.69,6.04,28.4,1,0,SriLanka,2019
Mohammad Saifuddin,7,7,58.0,2,417,13,3/72,32.07,7.18,26.7,0,0,Bangladesh,2019
SS Cottrell,9,9,67.0,2,392,12,4/56,32.66,5.85,33.5,1,0,WestIndies,2019
YS Chahal,8,8,74.0,0,442,12,4/51,36.83,5.97,37.0,1,0,India,2019
LE Plunkett,7,7,56.0,0,272,11,3/42,24.72,4.85,30.5,0,0,England,2019
AL Phehlukwayo,9,8,61.5,2,336,11,2/18,30.54,5.43,33.7,0,0,SouthAfrica,2019
Imran Tahir,9,8,76.0,0,374,11,4/29,34.00,4.92,41.4,1,0,SouthAfrica,2019
K Rabada,9,8,78.0,4,397,11,3/56,36.09,5.08,42.5,0,0,SouthAfrica,2019
Shakib Al Hasan,8,8,74.0,1,399,11,5/29,36.27,5.39,40.3,0,1,Bangladesh,2019
Wahab Riaz,8,8,66.4,1,400,11,3/46,36.36,6.00,36.3,0,0,Pakistan,2019
AU Rashid,11,11,92.0,0,526,11,3/54,47.81,5.71,50.1,0,0,England,2019
B Kumar,6,6,51.4,1,269,10,3/43,26.90,5.20,31.0,0,0,India,2019
Mohammad Nabi,9,9,72.4,0,335,10,4/30,33.50,4.61,43.6,1,0,Afghanistan,2019
HH Pandya,9,9,79.0,1,447,10,3/60,44.70,5.65,47.4,0,0,India,2019
JP Behrendorff,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1,Australia,2019
Shadab Khan,7,6,58.0,1,320,9,3/50,35.55,5.51,38.6,0,0,Pakistan,2019
CR Brathwaite,8,7,44.0,0,323,9,4/63,35.88,7.34,29.3,1,0,WestIndies,2019
O Thomas,9,9,58.1,1,380,9,4/27,42.22,6.53,38.7,1,0,WestIndies,2019
Gulbadin Naib,9,9,65.4,2,420,9,3/68,46.66,6.39,43.7,0,0,Afghanistan,2019
Dawlat Zadran,5,5,39.0,1,288,8,3/85,36.00,7.38,29.2,0,0,Afghanistan,2019
JO Holder,9,8,61.1,4,343,8,3/42,42.87,5.60,45.8,0,0,WestIndies,2019
L Ngidi,4,4,33.0,1,211,7,3/64,30.14,6.39,28.2,0,0,SouthAfrica,2019
MP Stoinis,8,8,40.0,1,244,7,2/37,34.85,6.10,34.2,0,0,Australia,2019
BA Stokes,11,11,50.5,1,246,7,3/23,35.14,4.83,43.5,0,0,England,2019
Mujeeb Ur Rahman,7,7,57.5,1,259,7,3/39,37.00,4.47,49.5,0,0,Afghanistan,2019
KAJ Roach,4,4,33.0,4,121,6,3/36,20.16,3.66,33.0,0,0,WestIndies,2019
C de Grandhomme,10,10,51.0,4,212,6,1/14,35.33,4.15,51.0,0,0,NewZealand,2019
I Udana,7,7,51.3,0,296,6,2/41,49.33,5.74,51.5,0,0,SriLanka,2019
MJ Santner,10,9,67.0,4,323,6,2/34,53.83,4.82,67.0,0,0,NewZealand,2019
Kuldeep Yadav,7,7,67.0,2,337,6,2/32,56.16,5.02,67.0,0,0,India,2019
Mehidy Hasan Miraz,7,7,67.0,0,341,6,2/47,56.83,5.08,67.0,0,0,Bangladesh,2019
Rashid Khan,9,8,71.5,1,416,6,2/17,69.33,5.79,71.8,0,0,Afghanistan,2019
